股票代码,股票名称
600272,开开实业
002437,誉衡药业
002172,澳洋健康
605179,一鸣食品
601700,风范股份
002742,三圣股份
002081,金 螳 螂
603958,哈森股份
603330,天洋新材
600721,百花医药
600683,京投发展
002886,沃特股份
002552,宝鼎科技
002418,康盛股份
002396,星网锐捷
603580,艾艾精工
603095,越剑智能
600227,赤天化
003005,竞业达
002971,和远气体
002963,豪尔赛
002721,金一文化
002589,瑞康医药
002329,皇氏集团
002229,鸿博股份
002041,登海种业
000505,京粮控股
688137,近岸蛋白
605577,龙版传媒
603618,杭电股份
603395,红四方
603221,爱丽家居
603118,共进股份
603102,百合股份
603089,正裕工业
603079,圣达生物
603011,合锻智能
601086,国芳集团
600892,大晟文化
600785,新华百货
600722,金牛化工
600641,万业企业
600479,千金药业
600397,江钨装备
600353,旭光电子
600162,香江控股
600103,青山纸业
003031,中瓷电子
003018,金富科技
002953,日丰股份
002949,华阳国际
002942,新农股份
002909,集泰股份
002907,华森制药
002703,浙江世宝
002686,亿利达
002631,德尔未来
002536,飞龙股份
002491,通鼎互联
002212,天融信
002104,恒宝股份
001258,立新能源
000931,中 关 村
000892,欢瑞世纪
000620,盈新发展
000428,华天酒店
605162,新中港
603936,博敏电子
603773,沃格光电
603721,中广天择
603396,金辰股份
603285,键邦股份
603228,景旺电子
603186,华正新材
603113,金能科技
601886,江河集团
601212,白银有色
600881,亚泰集团
600829,人民同泰
600815,厦工股份
600664,哈药股份
600604,市北高新
600551,时代出版
600403,大有能源
600354,敦煌种业
600330,天通股份
600313,农发种业
600206,有研新材
600110,诺德股份
301591,肯特股份
300911,亿田智能
300363,博腾股份
300189,神农种业
002951,金时科技
002915,中欣氟材
002882,金龙羽
002880,卫光生物
002827,高争民爆
002811,郑中设计
002743,富煌钢构
002724,海洋王
002716,湖南白银
002638,勤上股份
002580,圣阳股份
002515,金字火腿
002445,中南文化
002428,云南锗业
002365,永安药业
002349,精华制药
002322,理工能科
002165,红 宝 丽
002141,贤丰控股
002107,沃华医药
002094,青岛金王
002072,凯瑞德
002038,双鹭药业
002017,东信和平
002015,协鑫能科
001330,博纳影业
001277,速达股份
001268,联合精密
000890,法尔胜
000887,中鼎股份
000859,国风新材
000831,中国稀土
000735,罗 牛 山
000723,美锦能源
000720,新能泰山
000716,黑芝麻
000635,英 力 特
000628,高新发展
000603,盛达资源
000536,华映科技
000526,学大教育
000520,凤凰航运
000506,招金黄金
000059,华锦股份
000026,飞亚达
000020,深华发Ａ
000011,深物业A
000007,全新好
688185,康希诺
688152,麒麟信安
605289,罗曼股份
605288,凯迪股份
605188,国光连锁
605118,力鼎光电
605006,山东玻纤
603989,艾华集团
603978,深圳新星
603912,佳力图
603900,莱绅通灵
603801,志邦家居
603797,联泰环保
603778,国晟科技
603725,天安新材
603637,镇海股份
603626,科森科技
603559,中通国脉
603533,掌阅科技
603459,红板科技
603318,水发燃气
603270,金帝股份
603261,立航科技
603236,移远通信
603216,梦天家居
603207,小方制药
603200,上海洗霸
603191,望变电气
603188,亚邦股份
603083,剑桥科技
603082,北自科技
603052,可川科技
603016,新宏泰
603002,宏昌电子
601566,九牧王
601208,东材科技
600969,郴电国际
600967,内蒙一机
600833,第一医药
600830,香溢融通
600828,茂业商业
600714,金瑞矿业
600698,湖南天雁
600691,潞化科技
600654,中安科
600610,中毅达
600508,上海能源
600378,昊华科技
600367,红星发展
600326,西藏天路
600186,莲花控股
600172,黄河旋风
600165,宁科生物
600121,郑州煤电
600095,湘财股份
301630,同宇新材
301626,苏州天脉
301550,斯菱智驱
301529,福赛科技
301419,阿莱德
301399,英特科技
301366,一博科技
301357,北方长龙
301282,金禄电子
301251,威尔高
301231,荣信文化
301211,亨迪药业
301177,迪阿股份
301152,天力锂能
301151,冠龙节能
301129,瑞纳智能
301127,武汉天源
301106,骏成科技
301060,兰卫医学
300970,华绿生物
300929,华骐环保
300903,科翔股份
300841,康华生物
300839,博汇股份
300765,新诺威
300711,广哈通信
300679,电连技术
300598,诚迈科技
300570,太辰光
300456,赛微电子
300386,飞天诚信
300378,鼎捷数智
300364,中文在线
300345,华民股份
300333,兆日科技
300214,日科化学
300197,节能铁汉
300142,沃森生物
300122,智飞生物
300120,经纬辉开
300017,网宿科技
002989,中天精装
002980,华盛昌
002975,博杰股份
002973,侨银股份
002947,恒铭达
002918,蒙娜丽莎
002913,奥士康
002870,香山股份
002859,洁美科技
002837,英维克
002828,贝肯能源
002774,快意电梯
002741,光华科技
002708,光洋股份
002706,良信股份
002687,乔治白
002655,共达电声
002645,华宏科技
002636,金安国纪
002582,好想你
002476,宝莫股份
002474,榕基软件
002448,中原内配
002436,兴森科技
002421,达实智能
002370,亚太药业
002354,天娱数科
002328,新朋股份
002303,美盈森
002277,友阿股份
002265,建设工业
002256,兆新股份
002235,安妮股份
002180,奔图科技
002174,游族网络
002155,湖南黄金
002112,三变科技
002037,保利联合
001696,宗申动力
001378,德冠新材
001358,兴欣新材
001326,联域股份
001223,欧克科技
001210,金房能源
000977,浪潮信息
000962,东方钽业
000912,泸天化
000811,冰轮环境
000737,北方铜业
000721,西安饮食
000670,盈方微
000626,远大控股
000596,古井贡酒
000592,平潭发展
000523,红棉股份
000062,深圳华强
000048,京基智农
688790,昂瑞微-UW
688677,海泰新光
688662,富信科技
688485,九州一轨
688433,华曙高科
688419,耐科装备
688378,奥来德
688368,晶丰明源
688300,联瑞新材
688286,敏芯股份
688167,炬光科技
688112,鼎阳科技
688020,方邦股份
688003,天准科技
605198,安德利
605068,明新旭腾
605060,联德股份
603980,吉华集团
603938,三孚股份
603890,春秋电子
603880,南卫股份
603848,好太太
603757,大元泵业
603738,泰晶科技
603716,塞力医疗
603696,安记食品
603690,至纯科技
603688,石英股份
603629,利通电子
603400,华之杰
603366,日出东方
603358,华达科技
603333,尚纬股份
603297,永新光学
603217,元利科技
603171,税友股份
603151,邦基科技
603122,合富中国
603115,海星股份
603110,东方材料
603093,南华期货
603078,江化微
603039,泛微网络
603038,华立股份
603009,北特科技
601869,长飞光纤
601609,金田股份
601579,会稽山
601233,桐昆股份
601118,海南橡胶
601015,陕西黑猫
601011,宝泰隆
601003,柳钢股份
600857,宁波中百
600737,中粮糖业
600693,东百集团
600584,长电科技
600536,中国软件
600500,中化国际
600487,亨通光电
600468,百利电气
600460,士兰微
600379,宝光股份
600288,大恒科技
600198,大唐电信
600183,生益科技
600105,永鼎股份
600712,南宁百货
300789,唐源电气
605168,三人行
002382,蓝帆医疗
002545,东方铁塔
000889,中嘉博创
301158,德石股份
605589,圣泉集团
603990,麦迪科技
300688,创业黑马
002702,海欣食品
001337,四川黄金
603203,快克智能
300169,天晟新材
300802,矩子科技
688601,力芯微
300990,同飞股份
301018,申菱环境
002213,大为股份
301382,蜂助手
600409,三友化工
000510,新金路
002012,凯恩股份
300798,锦鸡股份
601138,工业富联
301165,锐捷网络
688625,呈和科技
601958,金钼股份
300538,同益股份
688669,聚石化学
300605,恒锋信息
688545,兴福电子
688234,天岳先进
688280,精进电动-W
300394,天孚通信
603259,药明康德
301171,易点天下
603306,华懋科技
301190,善水科技
600228,返利科技
002916,深南电路
688661,和林微纳
002384,东山精密
603931,格林达
603663,三祥新材
603268,松发股份
300480,光力科技
688596,正帆科技
603800,洪田股份
603256,宏和科技
002463,沪电股份
688143,长盈通
300476,胜宏科技
399006,创业板指
300134,大富科技
688498,源杰科技
002957,科瑞技术
000975,山金国际
002929,润建股份
301227,森鹰窗业
600629,华建集团
002695,煌上煌
002796,世嘉科技
002734,利民股份
605488,福莱新材
002931,锋龙股份
688146,中船特气
688158,优刻得-W
002938,鹏鼎控股
002222,福晶科技
600666,奥瑞德
600368,五洲交通
002846,英联股份
688432,有研硅
688600,皖仪科技
002517,恺英网络
300562,乐心医疗
002908,德生科技
603206,嘉环科技
301123,奕东电子
300243,瑞丰高材
399001,深证成指
688598,金博股份
603061,金海通
300139,晓程科技
001359,平安电工
605178,时空科技
000657,中钨高新
301183,东田微
688195,腾景科技
300686,智动力
002348,高乐股份
300620,光库科技
300270,中威电子
603097,江苏华辰
002779,中坚科技
002364,中恒电气
300508,维宏股份
600578,京能电力
300209,有棵树
000960,锡业股份
002484,江海股份
300846,首都在线
301085,亚康股份
300613,富瀚微
000001,上证指数
300894,火星人
605167,利柏特
688808,联讯仪器
002851,麦格米特
600547,山东黄金
688435,英方软件
605388,均瑶健康
600663,陆家嘴
600962,国投中鲁
301205,联特科技
002409,雅克科技
301217,铜冠铜箔
603556,海兴电力
002607,中公教育
002558,巨人网络
603682,锦和商管
002659,凯文教育
002438,江苏神通
601899,紫金矿业
600588,用友网络
300063,天龙集团
601179,中国西电
300319,麦捷科技
688111,金山办公
600756,浪潮软件
600801,华新水泥
600988,赤峰黄金
301668,昊创瑞通
600475,华光环能
301270,汉仪股份
300864,南大环境
301449,天溯计量
603679,华体科技
300359,全通教育
300981,中红医疗
002829,星网宇达
301045,天禄科技
688618,三旺通信
300530,领湃科技
603955,大千生态
688123,聚辰股份
300985,致远新能
301182,凯旺科技
000517,荣安地产
300672,国科微
300305,裕兴股份
000688,科创50
300897,山科智能
002902,铭普光磁
002548,金新农
601002,晋亿实业
603335,迪生力
301026,浩通科技
600617,国新能源
300051,琏升科技
688443,智翔金泰-U
600513,联环药业
600746,江苏索普
300515,三德科技
300805,电声股份
603387,基蛋生物
002775,文科股份
600844,金煤科技
603995,甬金股份
000989,九芝堂
300287,飞利信
300369,绿盟科技
600521,华海药业
301292,海科新源
